Jiongjiong Wang,2125830810
Drew Parker,2118488965
Yong Chen,2619125822
Brett Hemenway,2041479746
Ari Klein,2139489963
Joseph Kider,2155200051
Stephen Mayhew,2170335644
Dinesh Thakur,2085693427
Nicholas Taylor,2112022268
Charles Kahn,2537618342
Z. Wu,2974228899
Hansen Schwartz,1973372979
Saima Rathore,2137414854
David Brainard,1220077405
Breck Baldwin,2160316494
Jaclyn Ocumpaugh,1964888775
Ronald Wolf,2111339684
Ryan Kennedy,2228247353
Joseph Rosenzweig,2097547839
Raphael Rubin,2113948009
Abeed Sarker,2165699372
Natalie Shih,2159814591
Xiaohui Yao,2267068227
Karin Kipper,2015020145
Raja Affandi,2164061828
Nikos Kolotouros,2944001399
Mohammad Rahimian,1985769594
Nick Foster,2251117044
Joe Ellis,2113292778
Kenneth Chaney,2788645908
Patryk Orzechowski,3037862369
Brett Beaulieu-Jones,2277760582
Jeffrey Duda,2164070240
Pankaj Kakkar,2055955902
Robin Pemantle,185908671
David Miller,2237071270
David Roalf,2283237767
Graham Baum,2473237864
Weijie Su,2514263958_https://scholar.google.com/citations?hl=en&user=Uhf4nBkAAAAJ
Andre Scedrov,https://scholar.google.com/citations?hl=en&user=F-kvxQoAAAAJ
Christopher Yoo,https://scholar.google.com/citations?hl=en&user=DbgSeeIAAAAJ
Michael Greenwald,https://scholar.google.com/citations?hl=en&user=dDO9HB0AAAAJ
Daniel Simola,https://scholar.google.com/citations?hl=en&user=5KF4qlkAAAAJ
Sela Mador-Haim,https://scholar.google.com/citations?hl=en&user=0nTdOAYAAAAJ
Ivan Ruchkin,https://scholar.google.com/citations?hl=en&user=2c00FlAAAAAJ
Fouh Eric,https://scholar.google.com/citations?hl=en&user=pNv2zAYAAAAJ
Cody Phillips,https://scholar.google.com/citations?hl=en&user=uDbm5UwAAAAJ
Hangfeng He,https://scholar.google.com/citations?hl=en&user=BbpI6QoAAAAJ
Mohammad Amiri,https://scholar.google.com/citations?hl=en&user=dKWuAzcAAAAJ
Harjot Gill,https://scholar.google.com/citations?hl=en&user=2XRSpK8AAAAJ
Yinjun Wu,https://scholar.google.com/citations?hl=en&user=yXEG_vsAAAAJ
Kirill Batmanov,https://scholar.google.com/citations?hl=en&user=OWD6RZMAAAAJ
Ji-Eun Lee,https://scholar.google.com/citations?hl=en&user=SL9IS60AAAAJ
Caleb Stanford,https://scholar.google.com/citations?hl=en&user=VDFGNZ0AAAAJ
Wenrui Meng,https://scholar.google.com/citations?hl=en&user=VatO8ycAAAAJ
Devanshu Jain,https://scholar.google.com/citations?hl=en&user=aRPcAU0AAAAJ
